customer_id,signup_date,marketing_spend,visits,purchase_amount,segment,notes
36616168_c0114,19/07/2025,43.95,6,0,Consumer,no response
36616168_c0115,2026-01-23,119.21,2,143.37,SMB,
36616168_c0116,12/03/2025,196.96,9,141.88,Consumer,
36616168_c0117,2025-06-04,128.99,9,197.97,Consumer,
36616168_c0118,2025-09-23,139.45,3,,Consumer,contacted
36616168_c0119,2025-03-26,14.18,3,113.41,SMB,returned
36616168_c0120,2025-11-17,104.39,6,70.55,Consumer,
36616168_c0121,2024-12-23,280.08,12,214.83,Consumer,
36616168_c0122,2025-03-04,107.11,7,58.69,SMB,
36616168_c0123,N/A,154.88,3,119.7,Consumer,N/A
36616168_c0124,2026-01-22,38.99,4,0,Consumer,returned
36616168_c0125,2025-03-29,238.05,7,129.88,Enterprise,
36616168_c0126,2024-09-27,103.02,6,143.99,Consumer,
36616168_c0127,2024-12-27,261.26,2,353.09,SMB,
36616168_c0128,"Aug 31, 2025",253.65,12,,SMB,N/A
36616168_c0129,16/06/2025,201.08,9,199.84,SMB,
36616168_c0130,2025-12-31,85.63,5,118.37,Consumer,
36616168_c0131,"Feb 14, 2025",292.75,11,167.05,Consumer,
36616168_c0132,2025-04-25,272.49,5,,Consumer,
36616168_c0133,02/02/2025,33.38,3,149.99,SMB,returned
36616168_c0134,2026-01-01,174.25,7,93.58,Consumer,contacted
36616168_c0135,2026-01-18,222.67,6,182.2,Consumer,returned
36616168_c0136,2025-11-28,188.44,5,139.79,Enterprise,
36616168_c0137,2025-06-23,247.58,6,,SMB,no response
36616168_c0138,2026-01-01,291.39,10,,Consumer,no response
36616168_c0139,2025-05-09,10.33,4,86.56,SMB,contacted
36616168_c0140,2025-03-20,196.83,9,274.65,Consumer,
36616168_c0141,2024-12-19,185.83,7,198.94,Enterprise,
36616168_c0142,2025-06-01,171.16,11,,Consumer,contacted
36616168_c0143,"Nov 25, 2025",252.08,3,,SMB,returned
36616168_c0144,19/08/2025,277.06,11,263.74,Enterprise,
36616168_c0145,2024-12-21,63.93,3,219.46,Consumer,
36616168_c0146,06/10/2025,130.13,5,105.91,Enterprise,
36616168_c0147,2024-09-25,281.19,9,132.05,SMB,
36616168_c0148,22/03/2025,98.18,10,51.2,SMB,
36616168_c0149,2025-04-15,239.29,5,248.75,Consumer,
36616168_c0150,2025-01-31,204.42,4,122.52,Consumer,contacted
